year,CPI,annual_pct_change,https://www.minneapolisfed.org/about-us/monetary-policy/inflation-calculator/consumer-price-index-1913-
2000,172.2,3.40%,
2001,177.1,2.80%,
2002,179.9,1.60%,
2003,184,2.30%,
2004,188.9,2.70%,
2005,195.3,3.40%,
2006,201.6,3.20%,
2007,207.3,2.90%,
2008,215.3,3.80%,
2009,214.5,-0.40%,
2010,218.1,1.60%,
2011,224.9,3.20%,
2012,229.6,2.10%,
2013,233,1.50%,
2014,236.7,1.60%,
2015,237,0.10%,
2016,240,1.30%,
2017,245.1,2.10%,
2018,251.1,2.40%,
2019,255.7,1.80%,
2020,258.8,1.20%,
2021,271,4.70%,
2022,292.7,8.00%,
2023,309.6,5.80%,
