X,player_name,salary,season
1928,raymond felton,1471382,2018
783,kelly oubre jr.,1920240,2016
721,brandon bass,3000000,2016
1977,alfonzo mckinnie,1378242,2018
2248,thaddeus young,13964045,2019
543,goran dragic,14783000,2016
2809,cj miles,8333333,2020
710,drew gooden,3300000,2016
2220,goran dragic,18109175,2019
1410,sasha vujacic,980431,2017
854,james anderson,1015421,2016
2994,jacob evans,1925880,2020
85,goran dragic,7500000,2015
643,mirza teletovic,5500000,2016
2351,ben mclemore,5460000,2019
2990,tony bradley,1962360,2020
216,julius randle,2997360,2015
2291,danny green,10000000,2019
1895,terrance ferguson,1785000,2018
847,henry walker,1100602,2016
2061,nick johnson,874636,2018
735,furkan aldemir,2836768,2016
638,martell webster,5613500,2016
1804,nerlens noel,4187599,2018
1708,al jefferson,10000000,2018
353,jason maxiell,915243,2015
2278,omer asik,11286516,2019
1908,jeff withey,1577230,2018
594,ryan anderson,8500000,2016
645,deron williams,5378974,2016
2839,jabari parker,6500000,2020
485,bernard james,236886,2015
2960,grant williams,2379840,2020
1021,al horford,26540100,2017
91,kyrie irving,7070730,2015
618,ed davis,6980802,2016
138,nick young,4994420,2015
1855,gary harris,2550055,2018
2937,t.j. leaf,2813280,2020
3075,dwyane wade,1512601,2020
3142,ignas brazdeikis,898310,2020
1730,vince carter,8000000,2018
1314,adreian payne,2022240,2017
893,luc mbah a moute,947276,2016
308,melvin ely,1316809,2015
2053,robert sacre,980431,2018
2753,dewayne dedmon,13333333,2020
2308,markelle fultz,8339880,2019
701,nerlens noel,3457800,2016
476,lance thomas,403784,2015
3008,dragan bender,1678854,2020
96,kevin martin,6792500,2015
231,mike miller,2732000,2015
2672,kawhi leonard,32742000,2020
2,joe johnson,23180790,2015
438,jarnell stokes,725000,2015
2148,georgios papagiannis,185397,2018
2502,richaun holmes,1600520,2019
832,rudy gobert,1175880,2016
209,joel freeland,3013512,2015
2681,damian lillard,29802321,2020
845,wesley johnson,1100602,2016
1945,chris mccullough,1471382,2018
2701,steven adams,25842697,2020
1031,harrison barnes,22116750,2017
2173,gordon hayward,31214295,2019
2316,cory joseph,7945000,2019
1328,henry ellenson,1704120,2017
730,brian roberts,2854940,2016
70,marcus thornton,8575000,2015
3076,nigel williams-goss,1500000,2020
2237,eric bledsoe,15000000,2019
2946,deandre' bembry,2603982,2020
1293,tony snell,2368327,2017
263,zach lavine,2055840,2015
827,jarell martin,1230840,2016
2723,julius randle,18000000,2020
2369,jonathan isaac,4969080,2019
3084,theo pinson,1445697,2020
2368,kyle singler,4996000,2019
2350,de'aaron fox,5470920,2019
2037,john lucas iii,980431,2018
250,reggie jackson,2204369,2015
2991,keldon johnson,1950600,2020
362,ekpe udoh,915243,2015
1173,tarik black,6191000,2017
1645,tim hardaway jr.,17325000,2018
2205,aaron gordon,21590909,2019
381,jae crowder,915243,2015
202,dorell wright,3150000,2015
2229,jonas valanciunas,16539326,2019
1192,luis scola,5500000,2017
661,timofey mozgov,4950000,2016
823,cartier martin,1270964,2016
1442,robert sacre,980431,2017
370,quincy acy,915243,2015
2044,pablo prigioni,980431,2018
2918,romeo langford,3458400,2020
175,jonas valanciunas,3678360,2015
166,mario chalmers,4000000,2015
617,lou williams,7000000,2016
46,andrea bargnani,11500000,2015
2017,semi ojeleye,1291892,2018
1670,thaddeus young,13964045,2018
754,michael carter-williams,2399040,2016
944,cameron bairstow,845059,2016
317,pero antic,1250000,2015
276,jeff ayres,1828750,2015
1061,evan turner,16393443,2017
110,gerald henderson,6000000,2015
2682,kevin love,28942830,2020
437,hassan whiteside,769881,2015
2729,bismack biyombo,17000000,2020
294,miroslav raduljica,1500000,2015
1312,tim frazier,2090000,2017
446,russ smith,507336,2015
3009,cheick diallo,1678854,2020
2732,gorgui dieng,16229213,2020
239,austin rivers,2439840,2015
2808,p.j. tucker,8349039,2020
804,shane larkin,1500000,2016
2331,boban marjanovic,7000000,2019
83,boris diaw,7500000,2015
3147,max strus,898310,2020
2129,nikola jovanovic,543471,2018
355,omri casspi,915243,2015
1523,julian jacobs,543471,2017
1148,channing frye,7806971,2017
