"player_name","salary","season","avg_pts_per_min"
"raymond felton",1471382,2018,0.356493336538947
"kelly oubre jr.",1920240,2016,Inf
"brandon bass",3e+06,2016,0.50585526882921
"alfonzo mckinnie",1378242,2018,0.320541384853362
"thaddeus young",13964045,2019,0.410161670941769
"goran dragic",14783000,2016,0.609044955180572
"goran dragic",18109175,2019,0.575328066285449
"goran dragic",7500000,2015,0.435327347500884
"mirza teletovic",5500000,2016,0.36838356981284
"ben mclemore",5460000,2019,0.413191683901249
"tony bradley",1962360,2020,0.466170268601015
"julius randle",2997360,2015,0.412620175202233
"danny green",1e+07,2019,0.325914107513743
"terrance ferguson",1785000,2018,0.260331168652232
"nick johnson",874636,2018,0.2125
"nerlens noel",4187599,2018,0.367540463622345
"ryan anderson",8500000,2016,0.448329498442701
"deron williams",5378974,2016,0.384713415135842
"jabari parker",6500000,2020,0.421570758580562
"grant williams",2379840,2020,0.26984631944986
"al horford",26540100,2017,0.416849617255774
"kyrie irving",7070730,2015,0.640338818755184
"ed davis",6980802,2016,0.264243985764264
"nick young",4994420,2015,0.380219724126632
"gary harris",2550055,2018,0.446591681455366
"t.j. leaf",2813280,2020,0.444800950683304
"ignas brazdeikis",898310,2020,0.390477039260064
"vince carter",8e+06,2018,0.398140532552651
"adreian payne",2022240,2017,0.585695006747638
"luc mbah a moute",947276,2016,0.271591793199219
"dewayne dedmon",13333333,2020,0.511349454638928
"markelle fultz",8339880,2019,0.439581532339354
"nerlens noel",3457800,2016,0.449946647490414
"lance thomas",403784,2015,0.346789418789726
"kevin martin",6792500,2015,0.478639170025827
"mike miller",2732000,2015,0.221777579966083
"kawhi leonard",32742000,2020,0.735058295957947
"joe johnson",23180790,2015,0.362874243568221
"jarnell stokes",725000,2015,0.396604938271605
"richaun holmes",1600520,2019,0.439071233671178
"rudy gobert",1175880,2016,0.429768617834178
"damian lillard",29802321,2020,0.806381374147864
"wesley johnson",1100602,2016,0.219223374751054
"steven adams",25842697,2020,0.284941836485788
"harrison barnes",22116750,2017,0.564696129330788
"gordon hayward",31214295,2019,0.503443511212244
"cory joseph",7945000,2019,0.280787602563758
"henry ellenson",1704120,2017,0.43924656301301
"brian roberts",2854940,2016,0.340666185105012
"marcus thornton",8575000,2015,0.52304037589585
"nigel williams-goss",1500000,2020,0.869047619047619
"eric bledsoe",1.5e+07,2019,0.541583124346151
"deandre' bembry",2603982,2020,0.28583888232093
"tony snell",2368327,2017,0.24613645551114
"zach lavine",2055840,2015,0.484406996449266
"jarell martin",1230840,2016,0.286198143836248
"julius randle",1.8e+07,2020,0.631307341318757
"jonathan isaac",4969080,2019,0.468158764376671
"theo pinson",1445697,2020,0.130718954248366
"de'aaron fox",5470920,2019,0.67396843901184
"reggie jackson",2204369,2015,0.599632450039074
"keldon johnson",1950600,2020,0.451303772589355
"tarik black",6191000,2017,0.313859141500226
"tim hardaway jr.",17325000,2018,0.585585224623945
"aaron gordon",21590909,2019,0.455323377045414
"jae crowder",915243,2015,0.442897857448274
"dorell wright",3150000,2015,1.08
"jonas valanciunas",16539326,2019,0.580122238523995
"timofey mozgov",4950000,2016,0.352961229779971
"quincy acy",915243,2015,0.358250633823987
"romeo langford",3458400,2020,0.236645235498878
"jonas valanciunas",3678360,2015,0.51208717450347
"mario chalmers",4e+06,2015,0.450782670064788
"lou williams",7e+06,2016,0.67132685812211
"andrea bargnani",11500000,2015,0.434961372532883
"semi ojeleye",1291892,2018,0.295629191790009
"thaddeus young",13964045,2018,0.416830601125894
"michael carter-williams",2399040,2016,0.341556348794268
"jeff ayres",1828750,2015,Inf
"evan turner",16393443,2017,0.330977889275311
"gerald henderson",6e+06,2015,0.4263211249361
"kevin love",28942830,2020,0.499420421986965
"hassan whiteside",769881,2015,0.488351710432597
"bismack biyombo",1.7e+07,2020,0.24961211464974
"tim frazier",2090000,2017,0.210477394925062
"russ smith",507336,2015,0.319242453862665
"gorgui dieng",16229213,2020,0.418894109979221
"austin rivers",2439840,2015,0.408497282798411
"p.j. tucker",8349039,2020,0.146508642160684
"boban marjanovic",7e+06,2019,0.645886449360757
"boris diaw",7500000,2015,0.334457641102977
"max strus",898310,2020,0.427657804026074
"omri casspi",915243,2015,0.438449165543204
"channing frye",7806971,2017,0.481752908101039
"avery bradley",7730337,2016,0.494351712033164
"jamal murray",4444746,2020,0.588383987417884
"travis wear",148318,2018,0.503174603174603
"ricky rubio",16200000,2020,0.324990262597776
"danilo gallinari",22615559,2020,0.56178040133871
"jonas valanciunas",14382023,2017,0.571181523596126
"pau gasol",7448760,2016,0.461111964618136
"quincy pondexter",3617978,2017,0.167583567327813
"thomas bryant",815615,2018,0.524134627974889
"trevor ariza",8579089,2015,0.368922535960205
"pau gasol",15500000,2017,0.415238569827096
"josh mcroberts",5543725,2016,0.294606698670133
"chris andersen",5e+06,2016,0.28812656641604
"al horford",1.2e+07,2015,0.479689805440463
"spencer dinwiddie",1656092,2018,0.594875102986555
"bruce brown",838464,2019,0.314202429759364
"kemba walker",1.2e+07,2017,0.649803178726386
"jordan hamilton",150591,2015,0.425226004222168
"yogi ferrell",1312611,2018,0.431305376271051
"langston galloway",7e+06,2018,0.370586269446511
"jarell martin",1286160,2017,0.341464722212648
"joel embiid",27504630,2020,0.92933764385571
"paul pierce",3376000,2016,0.307351418422847
"luka doncic",6560640,2019,0.888605767888036
"glenn robinson iii",507336,2015,0.384969336267988
"demarcus cousins",14746000,2015,0.776934648450101
"danuel house jr.",3540000,2020,0.334285301144648
"grant jerrett",947276,2016,0.283333333333333
"kostas papanikolaou",4797664,2015,0.21819285363759
"david nwaba",903111,2020,0.414947169538501
"marreese speights",3815000,2016,0.569001308917693
"danilo gallinari",10854850,2015,0.571135477885675
"markieff morris",1750000,2020,0.304557569609772
"nicolas batum",20869566,2017,0.374708055357596
"james johnson",4e+06,2017,0.413962781523037
"gary harris",16517857,2019,0.320591685375071
"doug mcdermott",3294994,2018,0.393880323748637
"kyle lowry",31200000,2019,0.52943583351677
"pierre jackson",507336,2015,0.151249335459862
"dewayne dedmon",7200000,2019,0.334232596906792
"jared dudley",4375000,2016,0.310034455178154
"jordan bell",1378242,2019,0.4423287768876
"zach lavine",19500000,2019,0.756148765212665
"emmanuel mudiay",4294480,2019,0.466315063209047
"will barton",11830358,2019,0.454561665308656
"chris andersen",5375000,2015,0.272558995182285
"thabo sefolosha",4150000,2015,0.287270728186416
"tristan thompson",14260870,2016,0.272230905250214
"jamychal green",8533333,2018,0.435137997439095
"matthew dellavedova",9607500,2020,0.147596153846154
"willie cauley-stein",2177483,2020,0.3403338772379
"sam dekker",1646400,2016,0.346041438584838
"brandan wright",5e+06,2015,0.390873922975316
"josh mcroberts",5305000,2015,0.211881833092934
"milos teodosic",6e+06,2018,0.217244425680958
"jj redick",6792500,2015,Inf
"dante exum",4992385,2018,0.423536343081974
"kent bazemore",2e+06,2016,0.408581831278581
"domantas sabonis",2659800,2018,0.578208199585439
"lou williams",7e+06,2017,0.69327761659392
"jeremy lamb",6511628,2017,0.540555509081312
"thaddeus young",14153652,2017,0.365313531779664
"lonnie walker iv",2689920,2020,0.432150663011046
"rodney hood",5718000,2020,0.249818206280705
"tyus jones",1282080,2016,0.270823637284212
"admiral schofield",1e+06,2020,0
"michael beasley",195440,2015,0.722009216903954
"troy williams",76725,2017,0.519340835516822
"james young",1674480,2015,0.287916761600972
"bryn forbes",2875000,2020,0.488399806934822
"dewayne dedmon",816482,2015,0.378186956575112
"khris middleton",30603448,2020,0.620057447182939
"kyle collinsworth",543471,2017,0.190082152929814
"patrick patterson",1620564,2020,0.337792173783093
"brandon ingram",5281680,2017,0.48766609644894
"yante maten",18948,2019,0.4
"john wall",15851950,2016,0.653053517633714
"robert covington",10464092,2018,0.394599786846288
"tyson chandler",1.3e+07,2016,0.317958995517008
"kj mcdaniels",3333333,2017,0.462962962962963
"derrick white",1948080,2020,0.531276727268347
"tyler herro",3640200,2020,0.494285426529205
"archie goodwin",1112280,2015,0.442221822265678
"markelle fultz",8339880,2018,0.358273584258086
"marco belinelli",6333333,2017,0.499915970675806
"t.j. mcconnell",525093,2016,0.258703376329329
"rudy gay",19317326,2015,0.520358620399752
"kawhi leonard",2894059,2015,0.660708566251985
"jerryd bayless",3e+06,2016,0.435555555555556
"ricky rubio",14275000,2018,0.490918378250736
"john collins",2299080,2019,0.633642156255786
"dante cunningham",2978250,2017,0.278391054831713
"garrett temple",4767000,2020,0.270447457982113
"jerian grant",1572360,2016,0.325845237422658
"caleb swanigan",1465920,2018,0.22510124365328
"pat connaughton",625093,2016,0.314541291331573
"rondae hollis-jefferson",1335480,2016,0.390071216095837
"alfonzo mckinnie",1500000,2020,0.572243813097472
"justise winslow",3448926,2019,0.339197016410715
"hassan whiteside",981348,2016,0.535089935292733
"kentavious caldwell-pope",3678319,2017,0.394058759529689
"frank jackson",1378242,2019,0.413770454556205
"mason plumlee",1357080,2015,0.348540298077587
"robin lopez",14357750,2018,0.402260340141684
"abdel nader",1167333,2018,Inf
"kyle o'quinn",3750000,2016,0.411354143431073
"kevin durant",18995624,2015,0.785380622730514
"karl-anthony towns",5960160,2017,0.598739045244721
"devin harris",4053446,2016,0.406155326827692
"robin lopez",6124729,2015,0.374680998691788
"jared cunningham",915243,2015,0.279633418247086
"corey brewer",7612172,2017,0.297618549855188
"malik beasley",2731714,2020,0.594560514833486
"miles plumlee",1169880,2015,0.346948780077529
"dion waiters",2898000,2017,0.467225085966797
"jonas jerebko",5e+06,2017,0.33644835777568
"rondae hollis-jefferson",1395600,2017,0.506657273475976
"lance thomas",1636842,2016,0.297257889260799
"damjan rudez",980431,2017,0.0833333333333333
"frank kaminsky",4767000,2020,0.424829390675194
"frank jackson",1618520,2020,0.572354036405029
"anfernee simons",2149560,2020,0.443351798047626
"dwight howard",23180275,2017,0.547202739977075
"jarrett allen",2376840,2020,0.440617190248641
"jerian grant",2639314,2018,0.38359909757741
"justin holiday",947276,2016,0.389437650073815
"dwight powell",10259375,2020,0.357430877052357
"dennis schroder",15500000,2020,0.46802020735913
"jamychal green",7666667,2019,0.331466625451989
"jacob evans",1644240,2019,0.283105240927052
"jarrett jack",6300000,2015,0.419768501625228
"monta ellis",10300000,2016,0.321105833555131
"dillon brooks",1378242,2019,0.558598425744045
"frank kaminsky",2612520,2016,0.448822883342302
"dwight howard",5337000,2019,0.436594055508656
"isaiah briscoe",815615,2018,0.425870569918558
"khris middleton",915243,2015,0.509276824594957
"marcus morris sr.",1.5e+07,2020,0.474971430901279
"jrue holiday",25976111,2019,0.570591822998423
"dwight howard",21436271,2015,0.426353013941857
"shaquille harrison",1311265,2019,0.47419778856617
"kyle korver",5239437,2017,0.386996913415334
"gerald green",1620564,2020,0.851515151515152
"dario saric",2318280,2017,0.505289619318582
"de'andre hunter",7068360,2020,0.48489033577772
"shaun livingston",5305000,2015,0.340749338723408
"jamal crawford",4328000,2018,0.366916656601244
"kyrie irving",31742000,2020,0.765738408817954
