X,game_id,season
6024,21600512,2016
783,22000494,2020
721,22000557,2020
7910,21500038,2015
1977,21900429,2019
6344,21600189,2016
543,22000658,2020
6905,21501041,2015
7935,21500013,2015
710,22000575,2020
6316,21600221,2016
1410,11900113,2019
3286,21800494,2018
4950,21700202,2017
2994,21800779,2018
4181,21700976,2017
643,22000635,2020
4038,21701109,2017
2351,21900046,2019
7865,21500081,2015
7086,21500858,2015
4017,21701131,2017
216,22000974,2020
6387,21600140,2016
1895,21900498,2019
847,22000424,2020
7295,21500650,2015
6157,21600382,2016
3233,21800536,2018
3909,41700102,2017
735,22000536,2020
638,22000435,2020
1804,21900595,2019
5804,21600726,2016
4449,21700707,2017
6374,21600153,2016
6004,21600521,2016
4690,21700457,2017
645,22000637,2020
2839,21800943,2018
4581,21700574,2017
7056,21500887,2015
1021,22000246,2020
91,52000101,2020
618,22000019,2020
4234,21700915,2017
1855,21900544,2019
2937,21800835,2018
7171,21500770,2015
3788,11800060,2018
7238,21500698,2015
5826,21600708,2016
5410,21601124,2016
4989,21700159,2017
3143,21800636,2018
308,22000876,2020
2053,21900350,2019
6849,21501095,2015
6404,21600122,2016
4797,21700360,2017
7445,21500502,2015
3893,41700154,2017
3704,21800070,2018
476,22000730,2020
3008,21800767,2018
4192,21700960,2017
4327,21700832,2017
2672,21801095,2018
2,42000405,2020
4534,21700626,2017
7754,21500195,2015
3279,21800487,2018
3910,41700112,2017
6244,21600284,2016
6598,11600033,2016
832,22000564,2020
4305,21700851,2017
6777,21501171,2015
4941,21700207,2017
6041,21600486,2016
6797,21501150,2015
5127,21700018,2017
2173,21900215,2019
2316,21900080,2019
3546,21800229,2018
5424,21601105,2016
4826,21700333,2017
70,42000102,2020
3255,21800524,2018
3858,41700215,2017
7172,21500771,2015
6333,21600193,2016
7042,21500903,2015
7591,21500344,2015
1293,41900162,2019
263,22000922,2020
827,22000436,2020
6819,21501125,2015
6465,21600068,2016
3084,21800688,2018
2368,21900032,2019
7625,21500313,2015
7633,21500306,2015
2350,21900045,2019
2037,21900362,2019
250,22000942,2020
7087,21500859,2015
362,22000839,2020
5269,41600134,2016
3436,21800341,2018
5741,21600785,2016
7320,21500616,2015
6301,21600234,2016
381,22000808,2020
4298,21700862,2017
6325,21600200,2016
4026,21701126,2017
5288,41600122,2016
4757,21700392,2017
823,22000457,2020
5538,21600995,2016
4466,21700683,2017
6140,21600395,2016
2918,21800859,2018
175,22001009,2020
3593,21800176,2018
3354,21800428,2018
166,22001017,2020
617,22000018,2020
46,42000156,2020
6113,21600427,2016
5766,21600767,2016
4850,21700298,2017
944,22000336,2020
317,22000871,2020
4372,21700778,2017
7940,21500001,2015
5157,11700072,2017
110,22001063,2020
2682,21801088,2018
7177,21500762,2015
4533,21700625,2017
6825,21501116,2015
294,22000896,2020
1312,21901313,2019
446,22000751,2020
3009,21800768,2018
2732,21801049,2018
239,22000947,2020
2808,21800973,2018
4900,21700252,2017
6427,21600101,2016
4179,21700974,2017
138,22001032,2020
2129,21900278,2019
355,22000832,2020
5619,21600915,2016
1148,22000106,2020
1550,21900842,2019
4703,21700442,2017
6980,21500972,2015
6246,21600286,2016
2733,21801034,2018
2709,21801073,2018
3824,11800016,2018
6034,21600495,2016
1075,22000186,2020
610,22000011,2020
1242,41900217,2019
2151,21900244,2019
2097,21900304,2019
2124,21900273,2019
4164,21700989,2017
7654,21500298,2015
1067,22000191,2020
641,22000633,2020
660,22000622,2020
3568,21800208,2018
7703,21500244,2015
43,42000211,2020
1899,21900502,2019
1717,21900684,2019
6714,21501218,2015
5198,11700024,2017
492,22000703,2020
6093,21600438,2016
4003,21701149,2017
5846,21600683,2016
1357,21901263,2019
6783,21501158,2015
3317,21800464,2018
707,22000572,2020
3825,11800017,2018
2336,21900059,2019
4551,21700600,2017
3273,21800497,2018
3756,21800024,2018
5094,21700061,2017
4123,21701033,2017
2910,21800866,2018
4973,21700185,2017
7497,21500448,2015
4241,21700907,2017
5023,21700120,2017
4572,21700583,2017
691,22000589,2020
4147,21701014,2017
894,22000379,2020
3414,21800359,2018
3856,41700311,2017
3001,21800771,2018
7449,21500490,2015
5136,21700014,2017
7391,21500554,2015
4359,21700793,2017
1232,41900313,2019
3723,21800049,2018
6627,41500407,2015
6326,21600201,2016
5926,21600612,2016
6651,41500225,2015
2174,21900216,2019
4564,21700588,2017
6423,21600114,2016
4767,21700390,2017
2582,21801180,2018
2212,21900186,2019
6479,21600048,2016
6366,21600161,2016
4221,21700929,2017
4256,21700906,2017
545,22000660,2020
1721,21900672,2019
2792,21800980,2018
3316,21800463,2018
6214,21600317,2016
7485,21500468,2015
7069,21500871,2015
4890,21700257,2017
4233,21700914,2017
4226,21700934,2017
7614,21500332,2015
1767,21900632,2019
4448,21700706,2017
3457,21800317,2018
97,22001066,2020
1787,21900607,2019
779,22000490,2020
1852,21900541,2019
5256,41600201,2016
1165,22000092,2020
1190,12000028,2020
1077,22000188,2020
7037,21500898,2015
2851,21800927,2018
1373,21901255,2019
2141,21900263,2019
821,22000455,2020
6110,21600424,2016
3710,21800065,2018
231,22000953,2020
3783,11800079,2018
489,22000715,2020
7580,21500360,2015
5668,21600858,2016
4041,21701112,2017
4382,21700770,2017
2935,21800847,2018
421,22000770,2020
6774,21501168,2015
5597,21600945,2016
3483,21800288,2018
7845,21500094,2015
5294,41600141,2016
2654,21801118,2018
4074,21701087,2017
4631,21700529,2017
5798,21600738,2016
6624,11600007,2016
4653,21700504,2017
7406,21500538,2015
7288,21500662,2015
6248,21600288,2016
3471,21800303,2018
5350,21601185,2016
7804,21500143,2015
2008,21900392,2019
7663,21500279,2015
6999,21500949,2015
333,22000858,2020
1726,21900677,2019
2629,21801151,2018
1170,22000083,2020
7661,21500277,2015
4050,21701094,2017
5067,21700091,2017
9,42000316,2020
221,22000961,2020
4816,21700336,2017
1664,21900729,2019
6550,11600083,2016
797,22000476,2020
1268,41900175,2019
6974,21500966,2015
799,22000477,2020
6055,21600484,2016
953,22000312,2020
816,22000563,2020
7400,21500546,2015
5040,21700109,2017
6496,21600041,2016
4961,21700188,2017
7330,21500611,2015
1241,41900235,2019
3185,21800585,2018
2562,21801216,2018
306,22000890,2020
334,22000859,2020
1663,21900728,2019
6115,21600413,2016
4791,21700354,2017
10,42000304,2020
1181,12000045,2020
3633,21800147,2018
1229,41900305,2019
7160,21500788,2015
681,22000595,2020
4203,21700956,2017
4485,21700673,2017
7088,21500860,2015
1151,22000095,2020
1743,21900665,2019
1158,22000085,2020
7737,21500204,2015
1799,21900603,2019
325,22000362,2020
1274,41900134,2019
4005,21701151,2017
1204,12000014,2020
1348,21901278,2019
4891,21700258,2017
7936,21500014,2015
7199,21500735,2015
1407,11900121,2019
2873,21800903,2018
3845,41700307,2017
7880,21500066,2015
2054,21900351,2019
1577,21900824,2019
3773,21800002,2018
4019,21701133,2017
2014,21900384,2019
3350,21800424,2018
5123,21700035,2017
1702,21900696,2019
5949,21600582,2016
2744,21801029,2018
905,22000215,2020
5584,21600946,2016
6879,21501058,2015
2738,21801039,2018
6414,21600120,2016
2494,41800213,2018
104,22001074,2020
578,22000055,2020
6407,21600125,2016
2560,21801214,2018
368,22000827,2020
6269,21600263,2016
746,22000532,2020
6453,21600070,2016
2088,21900312,2019
379,22000806,2020
3787,11800059,2018
3415,21800360,2018
2742,21801027,2018
4471,21700675,2017
1469,21900926,2019
3781,11800077,2018
2903,21800868,2018
6280,21600246,2016
4100,21701054,2017
2593,21801191,2018
4434,21700719,2017
5295,41600101,2016
7767,21500176,2015
1335,21901288,2019
2490,41800234,2018
7867,21500083,2015
5393,21601139,2016
931,22000339,2020
6927,21501015,2015
129,22001053,2020
5896,21600640,2016
6773,21501167,2015
2635,21801141,2018
7623,21500327,2015
7846,21500095,2015
2569,21801198,2018
6323,21600211,2016
5537,21600994,2016
7713,21500235,2015
939,22000331,2020
734,22000551,2020
3874,41700211,2017
81,42000141,2020
2793,21800981,2018
2988,21800775,2018
6839,21501099,2015
7159,21500787,2015
3207,21800574,2018
4153,21700992,2017
5905,21600635,2016
568,22000061,2020
5048,21700101,2017
5532,21601002,2016
1857,21900546,2019
5770,21600758,2016
725,22000539,2020
482,22000708,2020
4426,21700728,2017
6888,21501052,2015
6702,41500112,2015
1424,11900103,2019
503,22000701,2020
1053,22000207,2020
2750,21801021,2018
5242,41600214,2016
3175,21800606,2018
1711,21900691,2019
7506,21500439,2015
4916,21700239,2017
392,22000802,2020
602,22000029,2020
4787,21700364,2017
1494,21900906,2019
2418,11900054,2019
3215,21800557,2018
3785,11800068,2018
7115,21500827,2015
6451,21600085,2016
7586,21500366,2015
2813,21800962,2018
505,22000683,2020
3839,11800002,2018
2258,21900132,2019
1282,41900173,2019
7132,21500812,2015
580,22000042,2020
6915,21501036,2015
5988,21600551,2016
3862,41700204,2017
7722,21500220,2015
536,22000665,2020
5230,41600303,2016
3941,21701205,2017
6666,41500232,2015
2529,41800102,2018
7488,21500456,2015
2036,21900361,2019
5893,21600637,2016
6519,21600005,2016
3790,11800062,2018
7595,21500348,2015
5345,21601180,2016
3712,21800052,2018
3714,21800054,2018
4352,21700801,2017
7744,21500198,2015
2080,21900318,2019
6734,21501205,2015
7997,11500052,2015
7618,21500322,2015
2705,21801069,2018
3748,21800035,2018
1315,21901312,2019
3906,41700132,2017
3572,21800212,2018
3623,21800150,2018
1807,21900584,2019
7603,21500336,2015
510,22000688,2020
2074,21900326,2019
1235,41900311,2019
1277,41900154,2019
5591,21600938,2016
3734,21800048,2018
7790,21500156,2015
4914,21700236,2017
494,22000705,2020
3480,21800300,2018
4163,21700988,2017
7072,21500874,2015
3911,41700162,2017
634,22000641,2020
2894,21800874,2018
7776,21500172,2015
4105,21701047,2017
3039,21800743,2018
5806,21600728,2016
2273,21900118,2019
696,22000579,2020
6179,21600348,2016
682,22000596,2020
3087,21800678,2018
4267,21700889,2017
1565,21900827,2019
449,22000754,2020
3903,41700123,2017
590,22000037,2020
236,22000944,2020
2745,21801030,2018
2148,21900241,2019
2675,21801098,2018
6345,21600190,2016
7537,21500406,2015
3371,21800403,2018
6934,21501005,2015
5839,21600690,2016
127,22001051,2020
3695,21800077,2018
3334,21800438,2018
7186,21500751,2015
2464,41800404,2018
6471,21600059,2016
700,22000583,2020
701,22000584,2020
2915,21800857,2018
1998,21900395,2019
3828,11800020,2018
5881,21600659,2016
1697,21900705,2019
5910,21600626,2016
1910,21900489,2019
1501,21900899,2019
2844,21800932,2018
3879,41700106,2017
1482,21900909,2019
520,22000682,2020
5743,21600787,2016
4366,21700787,2017
6664,41500222,2015
1527,21900865,2019
4691,21700458,2017
6046,21600491,2016
6037,21600498,2016
447,22000752,2020
5070,21700079,2017
1530,21900868,2019
7761,21500184,2015
1118,22000123,2020
6277,21600258,2016
5600,21600929,2016
2735,21801036,2018
3197,21800582,2018
2386,21900005,2019
2634,21801140,2018
5786,21600742,2016
3427,21800345,2018
2964,21800804,2018
1509,21900892,2019
6139,21600394,2016
6044,21600489,2016
599,22000026,2020
3413,21800358,2018
50,42000175,2020
571,22000048,2020
2909,21800865,2018
2956,21800823,2018
6848,21501093,2015
2416,11900061,2019
776,22000502,2020
6335,21600195,2016
5458,21601079,2016
2049,21900346,2019
6117,21600415,2016
3522,21800264,2018
6759,21501181,2015
1754,21900648,2019
2886,21800887,2018
3136,21800644,2018
5233,41600301,2016
1684,21900719,2019
6858,21501088,2015
1589,21900815,2019
1358,21901264,2019
4370,21700776,2017
926,22000347,2020
3705,21800071,2018
4178,21700973,2017
1189,12000037,2020
3968,21701187,2017
4473,21700677,2017
2153,21900246,2019
7825,21500118,2015
4884,21700275,2017
4430,21700715,2017
7542,21500399,2015
182,22001000,2020
3517,21800259,2018
5333,21601200,2016
1207,12000018,2020
5261,41600126,2016
6203,21600322,2016
6895,21501046,2015
623,22000645,2020
4670,21700490,2017
3733,21800047,2018
5496,21601043,2016
2624,21801146,2018
4333,21700823,2017
3750,21800018,2018
870,22000412,2020
116,22001056,2020
5548,21600973,2016
2282,21900112,2019
2122,21900271,2019
3435,21800340,2018
5078,21700072,2017
2408,11900062,2019
1389,21901237,2019
3027,21800745,2018
1318,21901306,2019
7872,21500073,2015
6302,21600235,2016
5176,11700049,2017
2766,21801012,2018
697,22000580,2020
2486,41800235,2018
5567,21600972,2016
4762,21700385,2017
975,22000290,2020
3168,21800599,2018
3010,21800769,2018
7394,21500540,2015
1738,21900659,2019
4649,21700500,2017
3621,21800162,2018
2702,21801066,2018
6690,41500173,2015
6456,21600073,2016
2685,21801092,2018
15,42000313,2020
2412,11900066,2019
1291,41900142,2019
3416,21800361,2018
4561,21700598,2017
3993,21701165,2017
2703,21801067,2018
3580,21800194,2018
5355,21601175,2016
4897,21700264,2017
3256,21800525,2018
7388,21500551,2015
4683,21700467,2017
7477,21500460,2015
6253,21600278,2016
4780,21700369,2017
5492,21601039,2016
5418,21601117,2016
3187,21800587,2018
2247,21900149,2019
7321,21500617,2015
6355,21600181,2016
47,42000105,2020
4420,21700736,2017
121,22001047,2020
6918,21501022,2015
8033,11500013,2015
5391,21601137,2016
59,42000174,2020
2455,11900016,2019
5093,21700060,2017
3689,21800084,2018
6681,41500165,2015
3994,21701166,2017
4455,21700699,2017
5617,21600912,2016
6841,21501101,2015
1555,21900847,2019
4627,21700525,2017
